"District","Ward","Village","Village.2002","UTM.Easting","UTM.Northing","Biter.ID","ID","Species","Other.species","Owner","Suspect","Rabid","Vaccination","Date.bitten.known","Date.bitten","Date.bitten.uncertainty","Symptoms.started.known","Symptoms.started","Symptoms.started.accuracy","Incubation.period","Incubation.period.units","Infectious.period","Infectious.period.units","Outcome","Action","Lateral.flow.test","Lateral.flow.test.date","Carnivore","Duplicated","month","day","cell_ID"
"Serengeti","Majimoto","Iseresere","Iseresere",653396.220267997,9824612.75827706,0,10271,"Domestic dog","","Unknown","Yes",TRUE,"Unknown","false",NA,"","true",2015-09-11,"+/- 7 days",NA,"",NA,"","Killed","Buried","Positive","",TRUE,FALSE,165,5002,317
"Serengeti","Majimoto","Nyamakobiti","Nyamakobiti",653126.233508645,9821182.44585118,0,10272,"Domestic dog","","Unknown","Yes",TRUE,"Unknown","false",NA,"","true",2015-10-06,"+/- 7 days",NA,"",NA,"","Killed","Buried","Positive","",TRUE,FALSE,166,5027,441
"Serengeti","Majimoto","Nyamakobiti","Nyamakobiti",651592.970823395,9820406.20355418,0,10288,"Domestic dog","","Unknown","Yes",TRUE,"Unknown","false",NA,"","true",2015-11-05,"+/- 7 days",NA,"",NA,"","Killed","Buried","Positive","",TRUE,FALSE,167,5057,486
"Serengeti","Majimoto","Nyamakobiti","Nyamakobiti",652517.658180549,9821400.25664075,0,10274,"Domestic dog","","Unknown","Yes",TRUE,"Unknown","false",NA,"","true",2016-01-11,"+/- 7 days",NA,"",NA,"","Killed","Not applicable","Positive","",TRUE,FALSE,169,5124,441
"Serengeti","Machochwe","Machochwe","Machochwe",687061.552270186,9818197.38064164,0,10234,"Domestic dog","","Unknown","Yes",TRUE,"Unknown","false",NA,"","true",2015-11-23,"0",NA,"",NA,"","Killed","Buried","Positive","",TRUE,FALSE,167,5075,616
"Serengeti","Mbalibali","Tamkeri","Tamkeri",698476.448037262,9802651.57962801,0,10202,"Domestic dog","","Unknown","Yes",TRUE,"Unknown","false",NA,"","true",2015-09-24,"0",NA,"",NA,"","Killed","Buried","Positive","",TRUE,FALSE,165,5015,1536
"Serengeti","Sedeco","Bisarara","Bisarara",697576.322668823,9799317.99550634,0,10214,"Domestic dog","","Known","Yes",TRUE,"Unknown","false",NA,"","true",2015-08-26,"0",NA,"",NA,"","Killed","Buried","Positive","",TRUE,FALSE,164,4986,1726
"Serengeti","Sedeco","Bisarara","Bisarara",701477.216649254,9800955.43159016,0,10210,"Domestic dog","","Unknown","Yes",TRUE,"Unknown","false",NA,"","true",2015-07-13,"0",NA,"",NA,"","Disappeared","Not applicable","","",TRUE,FALSE,163,4942,1604
"Serengeti","Sedeco","Bisarara","Bisarara",702330.707167016,9799724.99343547,10210,10213,"Domestic dog","","Known","Yes",TRUE,"Not vaccinated","true",2015-07-13,"0","true",2015-07-16,"0",3,"Day",1,"Day","Killed","Buried","Positive","",TRUE,FALSE,163,4945,1731
"Serengeti","Sedeco","Bisarara","Bisarara",701637.977983107,9799071.07928688,0,10221,"Domestic dog","","Unknown","Yes",TRUE,"Unknown","false",NA,"","true",2015-09-12,"0",NA,"",NA,"","Killed","Buried","","",TRUE,FALSE,165,5003,1730
"Serengeti","Sedeco","Bisarara","Bisarara",702788.734171421,9799493.50976646,10221,10225,"Domestic dog","","Known","Yes",TRUE,"Not vaccinated","true",2015-09-12,"0","true",2015-09-19,"0",7,"Day",2,"Day","Killed","Thrown","","",TRUE,FALSE,165,5010,1731
"Serengeti","Sedeco","Bisarara","Bisarara",703418.024552561,9799251.75018462,10221,10229,"Domestic dog","","Known","Yes",TRUE,"Not vaccinated","true",2015-09-19,"0","true",2015-10-03,"+/- 7 days",14,"Day",4,"Day","Died","Buried","","",TRUE,FALSE,166,5024,1731
"Serengeti","Sedeco","Mbirikiri","Mbirikiri",700996.359415013,9794057.52048727,10300,10301,"Domestic dog","","Known","Yes",TRUE,"Vaccinated","true",2015-07-05,"0","true",2015-08-04,"0",30,"Day",2,"Day","Killed","Buried","Positive","",TRUE,FALSE,164,4964,2035
"Serengeti","Geitasamo","Kegonga","Kegonga",685136.341627873,9801195.19403562,0,10248,"Domestic dog","","Known","Yes",TRUE,"Not vaccinated","false",NA,"","true",2016-01-23,"0",NA,"",4,"Day","Killed","Buried","Positive","",TRUE,FALSE,169,5136,1587
"Serengeti","Kebanchebanche","Kebanchebanche","Kebanchebanche",670638.951111677,9811733.53480261,0,10260,"Domestic dog","","Unknown","Yes",TRUE,"Unknown","false",NA,"","true",2015-12-01,"+/- 7 days",NA,"",2,"Day","Killed","Buried","Positive","",TRUE,FALSE,168,5083,964
"Serengeti","Kebanchebanche","Kebanchebanche","Kebanchebanche",671545.982772284,9810354.84110203,0,10268,"Domestic dog","","Unknown","Yes",TRUE,"Unknown","false",NA,"","true",2015-11-02,"+/- 7 days",NA,"",1,"Day","Killed","Buried","","",TRUE,FALSE,167,5054,1020
"Serengeti","Majimoto","Nyamakobiti","Nyamakobiti",648992.882545131,9823746.04417872,0,10292,"Domestic dog","","Unknown","Yes",TRUE,"Unknown","false",NA,"","true",2015-12-17,"+/- 7 days",NA,"",NA,"","Disappeared","Not applicable","","",TRUE,FALSE,168,5099,350
"Serengeti","Majimoto","Nyamakobiti","Nyamakobiti",648672.808261491,9823362.65274658,10292,10293,"Domestic dog","","Known","Yes",TRUE,"Not vaccinated","true",2015-12-17,"0","true",2015-12-22,"0",5,"Day",5,"Day","Killed","Thrown","","",TRUE,FALSE,168,5104,350
