counts,regions,group,hemisphere,ID,global_id,region_idx,hemisphere_idx,group_idx,animal_idx
5,LHA,het,L,3,3 het L,11,1,1,9
184,RCH,het,L,3,3 het L,33,1,1,9
374,TU,het,L,3,3 het L,43,1,1,9
53,ZI,het,L,3,3 het L,50,1,1,9
12,FF,het,L,3,3 het L,5,1,1,9
9,VAL,het,R,3,3 het R,44,2,1,10
9,VM,het,R,3,3 het R,45,2,1,10
52,VPL,het,R,3,3 het R,47,2,1,10
269,VPM,het,R,3,3 het R,48,2,1,10
7,VPMpc,het,R,3,3 het R,49,2,1,10
0,SPFm,het,R,3,3 het R,38,2,1,10
13,SPFp,het,R,3,3 het R,39,2,1,10
1,PP,het,R,3,3 het R,26,2,1,10
4,MGd,het,R,3,3 het R,15,2,1,10
44,MGv,het,R,3,3 het R,17,2,1,10
55,MGm,het,R,3,3 het R,16,2,1,10
1120,LGd,het,R,3,3 het R,8,2,1,10
276,LP,het,R,3,3 het R,13,2,1,10
93,PO,het,R,3,3 het R,24,2,1,10
24,POL,het,R,3,3 het R,25,2,1,10
5,SGN,het,R,3,3 het R,37,2,1,10
23,LD,het,R,3,3 het R,7,2,1,10
22,MD,het,R,3,3 het R,14,2,1,10
0,PR,het,R,3,3 het R,27,2,1,10
10,CL,het,R,3,3 het R,3,2,1,10
2,RT,het,R,3,3 het R,34,2,1,10
226,IGL,het,R,3,3 het R,6,2,1,10
720,LGv,het,R,3,3 het R,9,2,1,10
7,MH,het,R,3,3 het R,18,2,1,10
18,LH,het,R,3,3 het R,10,2,1,10
16,PVH,het,R,3,3 het R,29,2,1,10
12,PVa,het,R,3,3 het R,28,2,1,10
653,PVi,het,R,3,3 het R,31,2,1,10
2084,ARH,het,R,3,3 het R,2,2,1,10
592,DMH,het,R,3,3 het R,4,2,1,10
833,PVp,het,R,3,3 het R,32,2,1,10
24,SBPV,het,R,3,3 het R,35,2,1,10
22,SCH,het,R,3,3 het R,36,2,1,10
123,AHN,het,R,3,3 het R,1,2,1,10
6,LM,het,R,3,3 het R,12,2,1,10
0,MMme,het,R,3,3 het R,19,2,1,10
5,SUM,het,R,3,3 het R,40,2,1,10
0,TMd,het,R,3,3 het R,41,2,1,10
14,TMv,het,R,3,3 het R,42,2,1,10
962,MPN,het,R,3,3 het R,20,2,1,10
1,PMd,het,R,3,3 het R,22,2,1,10
34,PMv,het,R,3,3 het R,23,2,1,10
7,PVHd,het,R,3,3 het R,30,2,1,10
2032,VMH,het,R,3,3 het R,46,2,1,10
89,PH,het,R,3,3 het R,21,2,1,10
13,LHA,het,R,3,3 het R,11,2,1,10
152,RCH,het,R,3,3 het R,33,2,1,10
207,TU,het,R,3,3 het R,43,2,1,10
95,ZI,het,R,3,3 het R,50,2,1,10
52,FF,het,R,3,3 het R,5,2,1,10
182,LGd,ko,L,1,1 ko L,8,1,2,3
0,VAL,ko,L,1,1 ko L,44,1,2,3
33,VM,ko,L,1,1 ko L,45,1,2,3
2,VPL,ko,L,1,1 ko L,47,1,2,3
11,VPM,ko,L,1,1 ko L,48,1,2,3
0,VPMpc,ko,L,1,1 ko L,49,1,2,3
58,SPFm,ko,L,1,1 ko L,38,1,2,3
7,SPFp,ko,L,1,1 ko L,39,1,2,3
140,PP,ko,L,1,1 ko L,26,1,2,3
11,MGd,ko,L,1,1 ko L,15,1,2,3
40,MGv,ko,L,1,1 ko L,17,1,2,3
5,MGm,ko,L,1,1 ko L,16,1,2,3
125,LP,ko,L,1,1 ko L,13,1,2,3
9,PO,ko,L,1,1 ko L,24,1,2,3
25,POL,ko,L,1,1 ko L,25,1,2,3
3,SGN,ko,L,1,1 ko L,37,1,2,3
13,LD,ko,L,1,1 ko L,7,1,2,3
1,MD,ko,L,1,1 ko L,14,1,2,3
8,PR,ko,L,1,1 ko L,27,1,2,3
3,CL,ko,L,1,1 ko L,3,1,2,3
6,RT,ko,L,1,1 ko L,34,1,2,3
110,IGL,ko,L,1,1 ko L,6,1,2,3
100,LGv,ko,L,1,1 ko L,9,1,2,3
7,MH,ko,L,1,1 ko L,18,1,2,3
0,LH,ko,L,1,1 ko L,10,1,2,3
27,PVH,ko,L,1,1 ko L,29,1,2,3
33,PVa,ko,L,1,1 ko L,28,1,2,3
631,PVi,ko,L,1,1 ko L,31,1,2,3
828,ARH,ko,L,1,1 ko L,2,1,2,3
652,DMH,ko,L,1,1 ko L,4,1,2,3
587,PVp,ko,L,1,1 ko L,32,1,2,3
32,SBPV,ko,L,1,1 ko L,35,1,2,3
23,SCH,ko,L,1,1 ko L,36,1,2,3
33,AHN,ko,L,1,1 ko L,1,1,2,3
8,LM,ko,L,1,1 ko L,12,1,2,3
43,MMme,ko,L,1,1 ko L,19,1,2,3
0,SUM,ko,L,1,1 ko L,40,1,2,3
448,TMd,ko,L,1,1 ko L,41,1,2,3
35,TMv,ko,L,1,1 ko L,42,1,2,3
1783,MPN,ko,L,1,1 ko L,20,1,2,3
88,PMd,ko,L,1,1 ko L,22,1,2,3
403,PMv,ko,L,1,1 ko L,23,1,2,3
8,PVHd,ko,L,1,1 ko L,30,1,2,3
7002,VMH,ko,L,1,1 ko L,46,1,2,3
359,PH,ko,L,1,1 ko L,21,1,2,3
67,LHA,ko,L,1,1 ko L,11,1,2,3
294,RCH,ko,L,1,1 ko L,33,1,2,3
1286,TU,ko,L,1,1 ko L,43,1,2,3
