subject,race0W1B,object0NG1G,conditionRaceObj,conditionRace,rt,resp0DS1S,diffusionRT,ybin,lowerLim,upperLim
4,1,1,4,2,566,1,0.566,1,-0.851,0.851
4,0,1,3,1,724,1,0.724,1,-0.851,0.851
4,1,0,2,2,458,0,-0.458,1,-0.851,0.851
4,1,1,4,2,517,1,0.517,1,-0.851,0.851
4,1,1,4,2,551,1,0.551,1,-0.851,0.851
4,0,0,1,1,529,1,0.529,1,-0.851,0.851
4,0,1,3,1,750,1,0.75,1,-0.851,0.851
4,1,0,2,2,612,0,-0.612,1,-0.851,0.851
4,0,0,1,1,690,0,-0.69,1,-0.851,0.851
4,0,1,3,1,701,1,0.701,1,-0.851,0.851
4,0,1,3,1,467,1,0.467,1,-0.851,0.851
4,1,0,2,2,647,0,-0.647,1,-0.851,0.851
4,1,1,4,2,531,1,0.531,1,-0.851,0.851
4,1,0,2,2,625,0,-0.625,1,-0.851,0.851
4,1,1,4,2,470,1,0.47,1,-0.851,0.851
4,1,1,4,2,575,1,0.575,1,-0.851,0.851
4,0,1,3,1,499,1,0.499,1,-0.851,0.851
4,0,0,1,1,631,0,-0.631,1,-0.851,0.851
4,1,0,2,2,695,0,-0.695,1,-0.851,0.851
4,0,0,1,1,482,0,-0.482,1,-0.851,0.851
4,1,1,4,2,660,1,0.66,1,-0.851,0.851
4,1,1,4,2,461,1,0.461,1,-0.851,0.851
4,1,0,2,2,523,0,-0.523,1,-0.851,0.851
4,0,0,1,1,669,0,-0.669,1,-0.851,0.851
4,1,0,2,2,644,0,-0.644,1,-0.851,0.851
4,1,0,2,2,628,0,-0.628,1,-0.851,0.851
4,0,1,3,1,685,1,0.685,1,-0.851,0.851
4,0,1,3,1,432,1,0.432,1,-0.851,0.851
4,0,0,1,1,757,0,-0.757,1,-0.851,0.851
4,1,1,4,2,506,1,0.506,1,-0.851,0.851
4,1,1,4,2,483,1,0.483,1,-0.851,0.851
4,1,1,4,2,533,1,0.533,1,-0.851,0.851
4,1,0,2,2,597,0,-0.597,1,-0.851,0.851
4,1,0,2,2,676,0,-0.676,1,-0.851,0.851
4,1,0,2,2,711,0,-0.711,1,-0.851,0.851
4,1,0,2,2,636,0,-0.636,1,-0.851,0.851
4,1,0,2,2,521,0,-0.521,1,-0.851,0.851
4,1,1,4,2,537,1,0.537,1,-0.851,0.851
4,1,1,4,2,447,1,0.447,1,-0.851,0.851
4,1,0,2,2,703,0,-0.703,1,-0.851,0.851
5,1,0,2,2,NaN,NaN,NaN,0,-0.851,0.851
5,0,1,3,1,503,1,0.503,1,-0.851,0.851
5,0,0,1,1,627,0,-0.627,1,-0.851,0.851
5,0,1,3,1,671,1,0.671,1,-0.851,0.851
5,0,0,1,1,731,0,-0.731,1,-0.851,0.851
