,index,Brain,BrainRegion,BregmanRegion,Cohort,Date,VOID_PERCENTAGE,Cfos_Counts,counts_per_area,rat_ID,group,surgery,stimulus
120,151,1,V2C,n5.30,1,24-11-17,11.278884049517721,513.0,918.0951919409208,1,Lesion_Novel,Lesion,Novel
121,152,1,PRH,n5.30,1,24-11-17,11.891596247982758,77.0,138.76205905783002,1,Lesion_Novel,Lesion,Novel
122,153,1,TE2,n5.30,1,24-11-17,13.29094538791785,133.0,243.5479809334636,1,Lesion_Novel,Lesion,Novel
123,154,1,LENT,n8.30,1,24-11-17,20.614993812994417,209.0,418.02778299113874,1,Lesion_Novel,Lesion,Novel
124,155,1,PSTC,n8.30,1,24-11-17,10.999242296223855,213.0,379.99969070703867,1,Lesion_Novel,Lesion,Novel
125,156,1,LENT,n8.30,1,24-11-17,4.529466382653292,123.0,204.5658360422673,1,Lesion_Novel,Lesion,Novel
126,157,1,LENT,n8.30,1,24-11-17,2.7163836245795054,9.0,14.689267736662448,1,Lesion_Novel,Lesion,Novel
127,158,1,LENT,n8.30,1,24-11-17,0.22944184647360116,11.0,17.50602833312106,1,Lesion_Novel,Lesion,Novel
128,160,2,PRH,n5.30,1,24-11-17,1.6819388494894516,34.0,54.90892675899341,2,Sham_Novel,Sham,Novel
129,161,2,TE2,n5.30,1,24-11-17,0.0,40.0,63.512226103524924,2,Sham_Novel,Sham,Novel
130,163,2,V2C,n5.30,1,24-11-17,2.4042883617595865,63.0,102.49605687987713,2,Sham_Novel,Sham,Novel
131,165,2,PRH,n5.30,1,24-11-17,6.637446064776852,161.0,273.81075098272674,2,Sham_Novel,Sham,Novel
132,166,2,TE2,n5.30,1,24-11-17,5.106504997542189,136.0,227.56203546554136,2,Sham_Novel,Sham,Novel
133,168,2,PRH,n5.30,1,24-11-17,2.5558563732327224,445.0,725.106188123576,2,Sham_Novel,Sham,Novel
134,169,2,TE2,n5.30,1,24-11-17,8.173216287909822,565.0,976.9591805861905,2,Sham_Novel,Sham,Novel
135,170,2,V2C,n5.30,1,24-11-17,1.5379987420351635,336.0,541.8361321662178,2,Sham_Novel,Sham,Novel
136,171,2,V2C,n5.30,1,24-11-17,10.581142442858827,327.0,580.6520711411738,2,Sham_Novel,Sham,Novel
137,173,2,TE2,n5.30,1,24-11-17,2.139658091648909,68.0,110.33150127056575,2,Sham_Novel,Sham,Novel
138,174,2,PRH,n6.30,1,24-11-17,6.646429841113472,630.0,1071.5364816021395,2,Sham_Novel,Sham,Novel
139,175,2,TE2,n6.30,1,24-11-17,3.320206743785319,641.0,1052.7364499132943,2,Sham_Novel,Sham,Novel
140,176,2,PRH,n6.30,1,24-11-17,4.387595462498977,155.0,257.4037096354271,2,Sham_Novel,Sham,Novel
141,177,2,TE2,n6.30,1,24-11-17,1.8822670060889304,163.0,263.77731473670036,2,Sham_Novel,Sham,Novel
142,178,2,IDG,n4.80,1,24-11-17,0.9801190671254538,509.0,816.1927378151745,2,Sham_Novel,Sham,Novel
143,179,2,ICA1,n4.80,1,24-11-17,4.3104484133487535,434.0,720.1493180780841,2,Sham_Novel,Sham,Novel
144,180,2,ICA1,n4.80,1,24-11-17,5.992954284777924,599.0,1011.7279813062776,2,Sham_Novel,Sham,Novel
145,181,2,ICA3,n4.80,1,24-11-17,1.9028085432220725,571.0,924.2232261331219,2,Sham_Novel,Sham,Novel
146,182,2,IDG,n4.80,1,24-11-17,3.172259140755331,137.0,224.6560463708311,2,Sham_Novel,Sham,Novel
147,183,2,ICA1,n4.80,1,24-11-17,7.421719036289297,161.0,276.13032711948233,2,Sham_Novel,Sham,Novel
148,184,2,ICA3,n4.80,1,24-11-17,6.871968710680309,66.0,112.52806659817631,2,Sham_Novel,Sham,Novel
