Subject,Context1Safe2Danger,Race012B,Object0NG1G,RaceObject,Race1W2B,RT,Resp0NS1Sh,DiffusionRT,ybin,lower,upper
5,1,1,0,2,2,NaN,NaN,NaN,0,-0.631,0.631
5,1,1,1,4,2,437,1,0.437,1,-0.631,0.631
5,1,0,1,3,1,612,1,0.612,1,-0.631,0.631
5,1,0,1,3,1,NaN,NaN,NaN,2,-0.631,0.631
5,1,1,0,2,2,NaN,NaN,NaN,0,-0.631,0.631
5,1,0,0,1,1,452,0,-0.452,1,-0.631,0.631
5,1,1,0,2,2,603,0,-0.603,1,-0.631,0.631
5,1,1,0,2,2,494,0,-0.494,1,-0.631,0.631
5,1,0,0,1,1,477,0,-0.477,1,-0.631,0.631
5,1,1,1,4,2,505,1,0.505,1,-0.631,0.631
5,1,1,1,4,2,492,1,0.492,1,-0.631,0.631
5,1,1,0,2,2,593,0,-0.593,1,-0.631,0.631
5,1,1,1,4,2,486,0,-0.486,1,-0.631,0.631
5,1,0,1,3,1,NaN,NaN,NaN,2,-0.631,0.631
5,1,0,1,3,1,539,1,0.539,1,-0.631,0.631
5,1,1,1,4,2,535,1,0.535,1,-0.631,0.631
5,1,1,0,2,2,599,0,-0.599,1,-0.631,0.631
5,1,0,1,3,1,NaN,NaN,NaN,2,-0.631,0.631
5,1,1,0,2,2,495,0,-0.495,1,-0.631,0.631
5,1,0,0,1,1,576,0,-0.576,1,-0.631,0.631
5,1,1,1,4,2,548,1,0.548,1,-0.631,0.631
5,1,1,1,4,2,423,1,0.423,1,-0.631,0.631
5,1,0,0,1,1,566,0,-0.566,1,-0.631,0.631
5,1,0,0,1,1,484,0,-0.484,1,-0.631,0.631
5,1,1,0,2,2,478,0,-0.478,1,-0.631,0.631
5,1,0,1,3,1,489,1,0.489,1,-0.631,0.631
5,1,1,1,4,2,470,1,0.47,1,-0.631,0.631
5,1,0,1,3,1,451,1,0.451,1,-0.631,0.631
5,1,0,0,1,1,618,0,-0.618,1,-0.631,0.631
5,1,1,1,4,2,NaN,NaN,NaN,2,-0.631,0.631
5,1,1,0,2,2,514,0,-0.514,1,-0.631,0.631
5,1,1,0,2,2,NaN,NaN,NaN,0,-0.631,0.631
5,1,0,0,1,1,495,0,-0.495,1,-0.631,0.631
5,1,0,1,3,1,489,0,-0.489,1,-0.631,0.631
5,1,0,0,1,1,555,0,-0.555,1,-0.631,0.631
5,1,0,1,3,1,464,1,0.464,1,-0.631,0.631
5,1,0,0,1,1,518,0,-0.518,1,-0.631,0.631
5,1,0,0,1,1,520,0,-0.52,1,-0.631,0.631
5,1,0,0,1,1,NaN,NaN,NaN,0,-0.631,0.631
5,1,0,1,3,1,NaN,NaN,NaN,2,-0.631,0.631
5,1,0,1,3,1,465,1,0.465,1,-0.631,0.631
5,1,0,1,3,1,443,1,0.443,1,-0.631,0.631
5,1,0,0,1,1,542,0,-0.542,1,-0.631,0.631
6,0,0,0,1,1,567,0,-0.567,1,-0.631,0.631
6,0,1,1,4,2,495,1,0.495,1,-0.631,0.631
6,0,1,0,2,2,540,0,-0.54,1,-0.631,0.631
6,0,1,1,4,2,433,1,0.433,1,-0.631,0.631
6,0,0,0,1,1,543,0,-0.543,1,-0.631,0.631
6,0,0,1,3,1,553,1,0.553,1,-0.631,0.631
6,0,0,1,3,1,451,1,0.451,1,-0.631,0.631
6,0,1,0,2,2,NaN,NaN,NaN,0,-0.631,0.631
6,0,1,1,4,2,506,1,0.506,1,-0.631,0.631
6,0,0,0,1,1,554,0,-0.554,1,-0.631,0.631
6,0,0,0,1,1,535,0,-0.535,1,-0.631,0.631
6,0,0,1,3,1,441,1,0.441,1,-0.631,0.631
6,0,0,1,3,1,NaN,NaN,NaN,2,-0.631,0.631
6,0,1,1,4,2,488,1,0.488,1,-0.631,0.631
6,0,0,0,1,1,533,0,-0.533,1,-0.631,0.631
6,0,1,1,4,2,575,1,0.575,1,-0.631,0.631
6,0,1,1,4,2,508,1,0.508,1,-0.631,0.631
6,0,1,1,4,2,549,1,0.549,1,-0.631,0.631
6,0,1,0,2,2,478,0,-0.478,1,-0.631,0.631
6,0,1,1,4,2,510,1,0.51,1,-0.631,0.631
6,0,1,1,4,2,504,1,0.504,1,-0.631,0.631
6,0,1,0,2,2,NaN,NaN,NaN,0,-0.631,0.631
6,0,0,0,1,1,520,0,-0.52,1,-0.631,0.631
6,0,0,0,1,1,558,0,-0.558,1,-0.631,0.631
6,0,1,0,2,2,600,0,-0.6,1,-0.631,0.631
6,0,1,0,2,2,539,0,-0.539,1,-0.631,0.631
6,0,0,1,3,1,556,1,0.556,1,-0.631,0.631
6,0,1,0,2,2,509,0,-0.509,1,-0.631,0.631
6,0,0,1,3,1,423,1,0.423,1,-0.631,0.631
6,0,0,1,3,1,548,1,0.548,1,-0.631,0.631
6,0,0,1,3,1,503,0,-0.503,1,-0.631,0.631
